dong,moon_total_pct,lee_so_far_pct,remaining_pct_to_moon_like,price_600m_if_moon_like
금곡동,148.17070578231295,28.381548084440954,93.3071453688053,1159842872.2128317
이매동,142.34265710312326,26.647379023616647,91.35228772316897,1148113726.3390138
삼평동,125.71414929608204,20.35342275313441,87.5427753800244,1125256652.2801464
백현동,113.65870240396276,21.54017951406757,75.79265001762896,1054755900.1057738
수내동,131.70738390959477,34.28302568489594,72.5515065867756,1035309039.5206536
판교동,79.77026405479461,5.271482686210716,70.76824555672599,1024609473.3403559
서현동,126.59406396241675,40.84107625163844,60.88634792705279,965318087.5623168
야탑동,113.68879212152763,34.41558441558441,58.97620283437321,953857217.0062393
운중동,111.00609841422444,33.42777483414088,58.14255965560267,948855357.933616
분당동,130.65954540032223,54.817962471404314,48.987586271151365,893925517.6269082
구미동,119.30531607481316,49.60253785317734,46.59197579257872,879551854.7554723
정자동,127.04178834654431,57.460962474523434,44.189254770545915,865135528.6232755
